iter	Passed	Remaining
0	151	150890
1	160	80335
2	165	54966
3	171	42633
4	173	34496
5	175	28993
6	176	25067
7	178	22143
8	180	19858
9	182	18065
10	184	16581
11	186	15330
12	188	14276
13	189	13369
14	191	12575
15	194	11945
16	195	11307
17	196	10742
18	198	10226
19	199	9763
20	200	9345
21	201	8967
22	202	8618
23	204	8298
24	205	8005
25	206	7737
26	209	7537
27	210	7310
28	211	7096
29	213	6896
30	214	6701
31	215	6517
32	216	6344
33	217	6182
34	218	6029
35	219	5887
36	221	5763
37	223	5657
38	224	5540
39	226	5427
40	227	5317
41	228	5213
42	229	5115
43	230	5015
44	231	4922
45	233	4833
46	234	4752
47	235	4670
48	237	4616
49	239	4544
50	240	4472
51	241	4403
52	242	4334
53	243	4268
54	244	4204
55	245	4143
56	247	4096
57	249	4049
58	251	4013
59	253	3966
60	254	3920
61	255	3869
62	256	3821
63	257	3773
64	258	3725
65	259	3678
66	260	3633
67	261	3586
68	262	3543
69	263	3501
70	264	3460
71	266	3436
72	267	3402
73	269	3368
74	270	3332
75	271	3296
76	272	3261
77	273	3227
78	274	3194
79	274	3162
80	276	3133
81	277	3105
82	278	3078
83	279	3048
84	281	3027
85	282	3002
86	283	2972
87	284	2945
88	285	2919
89	286	2893
90	287	2868
91	288	2843
92	289	2819
93	290	2795
94	291	2772
95	292	2749
96	292	2726
97	293	2704
98	296	2695
99	297	2675
100	298	2655
101	298	2631
102	299	2611
103	300	2591
104	301	2572
105	302	2553
106	303	2534
107	304	2515
108	305	2497
109	306	2479
110	307	2462
111	308	2445
112	310	2438
113	311	2422
114	312	2407
115	313	2390
116	314	2374
117	315	2358
118	316	2342
119	317	2326
120	318	2311
121	319	2297
122	319	2279
123	320	2264
124	321	2250
125	322	2236
126	324	2231
127	325	2218
128	326	2206
129	327	2194
130	328	2181
131	329	2169
132	330	2156
133	331	2143
134	332	2131
135	333	2119
136	334	2107
137	335	2094
138	336	2083
139	337	2071
140	339	2070
141	340	2060
142	342	2050
143	343	2039
144	344	2028
145	344	2017
146	345	2007
147	346	1996
148	347	1986
149	348	1975
150	349	1965
151	350	1955
152	351	1946
153	352	1936
154	354	1935
155	356	1926
156	357	1918
157	358	1909
158	359	1900
159	360	1891
160	361	1882
161	362	1873
162	363	1864
163	363	1855
164	364	1846
165	365	1838
166	366	1830
167	369	1828
168	370	1821
169	371	1816
170	373	1809
171	374	1802
172	375	1795
173	376	1788
174	377	1781
175	379	1774
176	380	1768
177	381	1761
178	384	1764
179	386	1760
180	386	1750
181	387	1743
182	388	1736
183	389	1728
184	390	1721
185	391	1713
186	392	1706
187	393	1699
188	394	1692
189	395	1685
190	396	1678
191	397	1673
192	399	1670
193	400	1664
194	401	1658
195	402	1652
196	403	1645
197	404	1639
198	405	1632
199	406	1625
200	407	1619
201	408	1613
202	409	1606
203	410	1600
204	411	1594
205	413	1594
206	414	1589
207	416	1584
208	417	1578
209	417	1572
210	418	1566
211	419	1560
212	420	1554
213	421	1549
214	422	1543
215	423	1537
216	424	1531
217	425	1526
218	426	1521
219	429	1521
220	430	1516
221	431	1511
222	432	1505
223	433	1500
224	434	1494
225	434	1489
226	435	1484
227	436	1479
228	437	1473
229	438	1468
230	439	1463
231	440	1459
232	443	1460
233	444	1455
234	445	1451
235	446	1446
236	447	1441
237	448	1436
238	449	1431
239	450	1426
240	451	1421
241	452	1416
242	453	1412
243	454	1407
244	455	1402
245	456	1398
246	458	1398
247	459	1393
248	460	1389
249	461	1385
250	462	1380
251	463	1376
252	464	1371
253	465	1367
254	466	1362
255	467	1358
256	468	1354
257	469	1349
258	470	1345
