iter	Passed	Remaining
0	152	152388
1	160	79910
2	163	54486
3	167	41694
4	170	34000
5	172	28575
6	174	24728
7	176	21826
8	177	19553
9	179	17734
10	180	16253
11	183	15137
12	185	14083
13	187	13180
14	188	12399
15	190	11708
16	191	11095
17	193	10543
18	194	10062
19	197	9678
20	199	9282
21	200	8908
22	201	8565
23	202	8248
24	204	7958
25	205	7689
26	206	7439
27	207	7216
28	209	7000
29	210	6800
30	213	6667
31	214	6494
32	215	6325
33	217	6168
34	218	6020
35	219	5878
36	220	5747
37	222	5620
38	223	5500
39	224	5384
40	225	5276
41	226	5176
42	228	5075
43	229	4980
44	230	4890
45	231	4802
46	232	4718
47	233	4639
48	235	4562
49	236	4488
50	237	4417
51	238	4350
52	241	4309
53	242	4245
54	243	4185
55	244	4128
56	246	4070
57	247	4015
58	248	3961
59	249	3910
60	250	3860
61	252	3812
62	253	3766
63	255	3741
64	257	3697
65	258	3654
66	259	3612
67	260	3570
68	261	3530
69	262	3492
70	264	3454
71	265	3420
72	266	3384
73	267	3351
74	268	3317
75	270	3289
76	271	3257
77	272	3225
78	274	3194
79	275	3166
80	276	3137
81	277	3109
82	278	3082
83	280	3054
84	281	3028
85	282	3002
86	284	2989
87	286	2964
88	287	2939
89	288	2916
90	289	2892
91	290	2871
92	292	2848
93	293	2829
94	294	2807
95	295	2787
96	297	2767
97	300	2764
98	302	2750
99	303	2730
100	304	2710
101	305	2691
102	306	2672
103	308	2653
104	309	2635
105	310	2620
106	311	2602
107	312	2585
108	315	2582
109	317	2566
110	318	2550
111	319	2533
112	320	2517
113	321	2501
114	323	2486
115	324	2474
116	325	2459
117	326	2443
118	328	2429
119	330	2426
120	332	2411
121	333	2397
122	334	2383
123	335	2370
124	336	2356
125	337	2344
126	339	2331
127	340	2318
128	341	2305
129	342	2293
130	343	2280
131	347	2285
132	348	2274
133	350	2262
134	351	2251
135	352	2240
136	353	2228
137	354	2216
138	356	2205
139	357	2195
140	358	2183
141	359	2169
142	361	2168
143	363	2158
144	364	2148
145	365	2137
146	366	2127
147	367	2118
148	369	2108
149	370	2098
150	371	2089
151	372	2079
152	373	2070
153	376	2067
154	377	2058
155	378	2046
156	379	2037
157	380	2029
158	382	2022
159	383	2014
160	385	2006
161	386	1998
162	387	1990
163	388	1982
164	394	1995
165	395	1989
166	397	1983
167	398	1975
168	399	1965
169	401	1958
170	402	1950
171	403	1942
172	404	1934
173	408	1940
174	410	1933
175	411	1925
176	412	1917
177	413	1907
178	413	1897
179	414	1889
180	415	1882
181	416	1871
182	416	1861
183	417	1852
184	418	1845
185	422	1850
186	424	1844
187	425	1835
188	425	1826
189	426	1819
190	428	1812
191	429	1806
192	430	1799
193	431	1792
194	432	1786
195	433	1779
196	434	1773
197	440	1783
198	441	1778
199	443	1773
200	443	1764
201	444	1756
202	445	1749
203	446	1741
204	446	1732
205	447	1726
206	448	1718
207	448	1709
208	450	1703
209	454	1710
210	455	1702
211	456	1695
212	456	1687
213	457	1682
214	458	1673
215	458	1665
216	459	1658
217	460	1650
218	461	1644
219	461	1637
220	462	1630
221	463	1623
222	463	1616
223	464	1608
224	464	1601
225	468	1603
226	470	1601
227	471	1596
228	471	1588
229	472	1581
230	472	1574
231	473	1567
232	474	1562
233	475	1557
234	477	1552
235	478	1548
236	479	1543
237	479	1536
238	483	1539
239	485	1536
240	486	1531
241	487	1526
242	488	1520
243	488	1514
244	489	1508
245	490	1502
246	491	1498
247	492	1493
248	493	1487
249	494	1482
250	494	1476
251	498	1481
252	500	1476
253	501	1472
254	503	1471
255	504	1465
256	505	1461
257	506	1457
258	507	1453
259	509	1449
260	513	1453
261	515	1450
262	516	1446
263	517	1442
264	518	1438
265	519	1434
266	520	1430
267	522	1426
268	523	1422
269	525	1419
270	529	1423
271	530	1419
272	531	1415
273	532	1411
274	533	1407
275	535	1403
276	536	1399
277	537	1395
278	538	1391
279	539	1387
280	543	1390
281	544	1387
282	545	1382
283	546	1379
284	547	1374
285	548	1370
286	550	1366
287	551	1362
288	552	1358
289	553	1355
290	555	1352
291	558	1355
292	560	1352
293	561	1349
294	562	1345
295	563	1340
296	564	1336
297	568	1339
298	570	1336
299	573	1337
300	574	1335
301	575	1331
302	576	1327
303	577	1322
304	578	1319
305	580	1315
306	581	1312
307	583	1309
